Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Who_Won,Winning_Line
BASKETBALL,NBA,MEM GRIZZLIES,CHA HORNETS,n/a,-750,525,MEM GRIZZLIES,-750
BASKETBALL,NBA,SAC KINGS,GS WARRIORS,n/a,-285,230,SAC KINGS,-285
BASKETBALL,NBA,LA CLIPPERS,BOS CELTICS,n/a,390,-520,BOS CELTICS,-520
BASKETBALL,COLLEGE MENS,HOUSTON,UTAH,n/a,-2400,1200,HOUSTON,-2400
BASKETBALL,COLLEGE MENS,VMI,FURMAN,n/a,330,-425,VMI,330
BASKETBALL,COLLEGE MENS,YOUNGSTOWN STATE,ROBERT MORRIS,n/a,-155,130,ROBERT MORRIS,130
BASKETBALL,COLLEGE MENS,TCU,KANSAS,n/a,220,-270,KANSAS,-270
BASKETBALL,COLLEGE MENS,NORTHWESTERN,INDIANA,n/a,-258,210,NORTHWESTERN,-258
BASKETBALL,COLLEGE MENS,SOUTH CAROLINA,FLORIDA,n/a,500,-700,FLORIDA,-700
BASKETBALL,COLLEGE MENS,GEORGIA TECH,VIRGINIA TECH,n/a,-245,200,GEORGIA TECH,-245
BASKETBALL,COLLEGE MENS,UNC GREENSBORO,MERCER,n/a,-425,330,MERCER,330
BASKETBALL,COLLEGE MENS,WOFFORD,THE CITADEL,n/a,-1650,950,WOFFORD,-1650
BASKETBALL,COLLEGE MENS,OLD DOMINION,JAMES MADISON,n/a,164,-198,JAMES MADISON,-198
BASKETBALL,COLLEGE MENS,USC UPSTATE,HIGH POINT,n/a,850,-1450,HIGH POINT,-1450
BASKETBALL,COLLEGE MENS,CLEVELAND STATE,DETROIT MERCY,n/a,-1450,850,CLEVELAND STATE,-1450
BASKETBALL,COLLEGE MENS,UMASS,GEORGE WASHINGTON,n/a,-118,-102,UMASS,-118
BASKETBALL,COLLEGE MENS,ETSU,WESTERN CAROLINA,n/a,-1450,850,ETSU,-1450
BASKETBALL,COLLEGE MENS,CHARLOTTE,SOUTH FLORIDA,n/a,114,-135,CHARLOTTE,114
BASKETBALL,COLLEGE MENS,OAKLAND,PURDUE FORT WAYNE,n/a,-120,100,OAKLAND,-120
BASKETBALL,COLLEGE MENS,WRIGHT STATE,MILWAUKEE,n/a,-142,120,MILWAUKEE,120
BASKETBALL,COLLEGE MENS,AMERICAN,LEHIGH,n/a,-265,215,AMERICAN,-265
BASKETBALL,COLLEGE MENS,SOUTHERN ILLINOIS,MURRAY STATE,n/a,-105,-115,MURRAY STATE,-115
BASKETBALL,COLLEGE MENS,RADFORD,LONGWOOD,n/a,-155,130,LONGWOOD,130
BASKETBALL,COLLEGE MENS,GREEN BAY,IU INDIANAPOLIS,n/a,110,-130,IU INDIANAPOLIS,-130
BASKETBALL,COLLEGE MENS,LOYOLA MARYLAND,LAFAYETTE,n/a,-130,110,LAFAYETTE,110
BASKETBALL,COLLEGE MENS,NAVY,BOSTON UNIVERSITY,n/a,-120,100,NAVY,-120
BASKETBALL,COLLEGE MENS,GARDNER-WEBB,UNC ASHEVILLE,n/a,-120,100,UNC ASHEVILLE,100
BASKETBALL,COLLEGE MENS,DRAKE,VALPARAISO,n/a,-1350,800,DRAKE,-1350
BASKETBALL,COLLEGE MENS,PRESBYTERIAN,CHARLESTON SOUTHERN,n/a,-142,120,PRESBYTERIAN,-142
BASKETBALL,COLLEGE MENS,NORTH TEXAS,TEMPLE,n/a,-470,360,NORTH TEXAS,-470
BASKETBALL,COLLEGE MENS,SAINT LOUIS,LA SALLE,n/a,-550,410,SAINT LOUIS,-550
BASKETBALL,COLLEGE MENS,COLORADO STATE,BOISE STATE,n/a,-112,-108,COLORADO STATE,-112
BASKETBALL,COLLEGE MENS,EVANSVILLE,ILLINOIS CHICAGO,n/a,180,-218,ILLINOIS CHICAGO,-218
