Sport,League,Home_Team,Away_Team,Scenario,Points,Actual_Points,OU
BASKETBALL,CBB,SOUTHERN INDIANA,LINDENWOOD,n/a,141.0,153,O
BASKETBALL,CBB,TENNESSEE TECH,SE MISSOURI STATE,n/a,143.0,147,O
BASKETBALL,CBB,NEBRASKA,RUTGERS,n/a,146.5,167,O
BASKETBALL,CBB,NORTHWESTERN,MARYLAND,n/a,140.0,150,O
BASKETBALL,CBB,LIBERTY,UTEP,n/a,134.5,142,O
BASKETBALL,CBB,GRAND CANYON,ABILENE CHRISTIAN,n/a,144.0,146,O
BASKETBALL,CBB,IDAHO STATE,MONTANA STATE,n/a,138.0,137,U
BASKETBALL,CBB,WEBER STATE,MONTANA,n/a,146.0,122,U
BASKETBALL,CBB,SAN DIEGO,WASHINGTON STATE,n/a,153.5,126,U
BASKETBALL,CBB,PEPPERDINE,SAN FRANCISCO,n/a,149.0,143,U
BASKETBALL,CBB,UC IRVINE,CAL STATE FULLERTON,n/a,135.5,144,O
BASKETBALL,CBB,SEATTLE,UTAH TECH,n/a,141.5,144,O
BASKETBALL,CBB,LONG BEACH STATE,UC SAN DIEGO,n/a,135.5,134,U
BASKETBALL,CBB,LOYOLA MARYMOUNT,SANTA CLARA,n/a,148.5,111,U
BASKETBALL,CBB,UC SANTA BARBARA,UC RIVERSIDE,n/a,140.0,129,U
BASKETBALL,CBB,CAL POLY,UC DAVIS,n/a,156.5,119,U
BASKETBALL,CBB,PORTLAND,PACIFIC,n/a,148.0,165,O
BASKETBALL,CBB,OREGON STATE,GONZAGA,n/a,151.0,186,O
BASKETBALL,CBB,HAWAII,CSUN,n/a,146.0,143,U
BASKETBALL,NBA,PHI 76ERS,NY KNICKS,n/a,220.0,224,O
BASKETBALL,NBA,TOR RAPTORS,BOS CELTICS,n/a,229.5,207,U
BASKETBALL,NBA,MIL BUCKS,ORL MAGIC,n/a,212.0,215,O
BASKETBALL,NBA,SA SPURS,MEM GRIZZLIES,n/a,238.5,244,O
BASKETBALL,NBA,CHI BULLS,ATL HAWKS,n/a,243.0,204,U
BASKETBALL,NBA,NO PELICANS,DAL MAVERICKS,n/a,224.5,235,O
BASKETBALL,NBA,DEN NUGGETS,HOU ROCKETS,n/a,231.5,236,O
BASKETBALL,NBA,UTA JAZZ,CHA HORNETS,n/a,220.5,229,O
BASKETBALL,NBA,MIN TIMBERWOLVES,GS WARRIORS,n/a,215.0,231,O
BASKETBALL,NBA,LA LAKERS,MIA HEAT,n/a,216.0,225,O
BASKETBALL,NBA,LA CLIPPERS,BKN NETS,n/a,213.5,193,U
BASKETBALL,CBB,VANDERBILT,SOUTH CAROLINA,n/a,141.0,129,U
BASKETBALL,CBB,BOSTON UNIVERSITY,LEHIGH,n/a,132.5,121,U
BASKETBALL,CBB,VMI,WESTERN CAROLINA,n/a,146.5,116,U
BASKETBALL,CBB,WAKE FOREST,STANFORD,n/a,141.0,147,O
BASKETBALL,CBB,WINTHROP,CHARLESTON SOUTHERN,n/a,159.5,199,O
BASKETBALL,CBB,LA SALLE,DAVIDSON,n/a,149.0,155,O
BASKETBALL,CBB,UNC ASHEVILLE,USC UPSTATE,n/a,162.5,185,O
BASKETBALL,CBB,IOWA STATE,KANSAS,n/a,143.5,131,U
BASKETBALL,CBB,NORTH CAROLINA,CALIFORNIA,n/a,161.5,132,U
BASKETBALL,CBB,DAYTON,GEORGE MASON,n/a,136.0,126,U
BASKETBALL,CBB,BUTLER,SETON HALL,n/a,137.0,159,O
BASKETBALL,CBB,OAKLAND,IU INDIANAPOLIS,n/a,135.0,131,U
BASKETBALL,CBB,VIRGINIA TECH,NC STATE,n/a,133.0,155,O
